Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_xrai_full_test.pt
v_RopeClimbing_g03_c02: 0.9057842165930197
v_RopeClimbing_g03_c03: 0.8893523273291066
v_RopeClimbing_g03_c04: 0.9305990944849327
v_RopeClimbing_g04_c01: 0.8814403483411297
v_RopeClimbing_g04_c02: 0.9663948385277763
v_RopeClimbing_g04_c03: 0.9285090888151899
v_RopeClimbing_g04_c04: 0.9069489723769948
v_RopeClimbing_g05_c01: 0.9549520259024575
v_RopeClimbing_g05_c02: 0.9302662709960714
v_RopeClimbing_g05_c03: 0.839954408002086
v_RopeClimbing_g05_c04: 0.9398113643983379
v_RopeClimbing_g05_c05: 0.9315086706774309
v_RopeClimbing_g05_c06: 0.802120769280009
v_RopeClimbing_g05_c07: 0.921194737427868
v_RopeClimbing_g06_c01: 0.9423204084159806
v_RopeClimbing_g06_c02: 0.9415360657731071
v_RopeClimbing_g06_c03: 0.9530554871307686
v_RopeClimbing_g06_c04: 0.9417925268644467
v_RopeClimbing_g07_c01: 0.8754646083107218
v_RopeClimbing_g07_c02: 0.9026737421518192
v_RopeClimbing_g07_c03: 0.8550379885127768
v_RopeClimbing_g07_c04: 0.8268346540862694
v_RopeClimbing_g07_c05: 0.8452331038424745
v_SalsaSpin_g01_c01: 0.9142749028105754
v_SalsaSpin_g01_c02: 0.9095125920430291
v_SalsaSpin_g01_c03: 0.876113035279559
v_SalsaSpin_g01_c04: 0.9243843716394622
v_SalsaSpin_g01_c05: 0.9037270695262123
v_SalsaSpin_g01_c06: 0.8793439949222375
v_SalsaSpin_g01_c07: 0.8989237237547059
v_SalsaSpin_g02_c01: 0.4814113123866264
v_SalsaSpin_g02_c02: 0.3014280341885751
v_SalsaSpin_g02_c03: 0.16623096853618335
v_SalsaSpin_g02_c04: 0.3505509353126399
v_SalsaSpin_g02_c05: 0.4235067174595315
v_SalsaSpin_g02_c06: 0.3022074890322983
v_SalsaSpin_g02_c07: 0.23917967082525138
v_SalsaSpin_g03_c01: 0.9192579621740151
v_SalsaSpin_g03_c02: 0.8873758600384463
v_SalsaSpin_g03_c03: 0.913792042323621
v_SalsaSpin_g03_c04: 0.9497799321834464
