Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_g_full_test.pt
68421: 0.003939223664929159
28718: 0.015023249376099557
153776: 0.14201161803794093
48203: 0.016956978040980175
151323: 0.0055236745974980295
217892: 0.09079970894526923
85124: 0.0195529728080146
164504: 0.0598025452636648
166476: 0.356983119772849
214308: 0.09850746931624599
210400: 0.9953812435269356
186388: 0.09895528982451651
157520: 0.016275710288027767
171871: 0.11987096969096456
95730: 0.0932983850943856
86955: 0.11184198055161687
59218: 0.10358856318634935
210183: 0.46411931204966095
47297: 0.006052144541172311
120787: 0.9943408800754696
144261: 0.18297061222801858
209867: 0.23193480811278278
214697: 0.5645359861173347
72734: 0.02163918109727092
62430: 0.006629930992858135
180698: 0.4434909971405432
4026: 0.036785537959076464
36868: 0.13599489320768043
64099: 0.5282859158814972
192232: 0.0011095037736481572
114795: 0.6253765196888708
39505: 0.0673916867817752
149797: 0.23592662174451107
116747: 0.14046181485173292
48465: 0.5864141973215737
45429: 0.40638107801532897
145090: 0.13330590175610268
183973: 0.004933463405905059
42367: 0.0012391448096877866
69126: 0.03694363680915558
75125: 0.49011645685095573
52775: 0.2668426678956166
205873: 0.0022717576648574322
115644: 0.032802289812025265
190527: 0.17159075017661962
56553: 0.05559090822680446
168990: 0.0037019881729065673
62225: 0.21778014957635605
153507: 0.12447764716307574
186952: 0.5882287665244803
184917: 0.7298248959214106
134946: 0.03972634784622642
141757: 0.273189720182927
170749: 0.00024311386005138047
96676: 0.07860277782310732
127755: 0.31642983057281526
194192: 0.7567328430686757
205758: 0.00042873147322097793
44551: 0.3489503450200573
90056: 0.46067365952512773
155132: 0.29189923045669275
55232: 0.020929144957335666
164740: 0.00648040748819767
62941: 0.0008146660547936335
37797: 0.41393337533554586
167549: 0.0002791389706544578
Finished: scm_256, ins, most_first, sthsthv2, r2p1d, g, #Step=128
Average: 0.23612518179725456
Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_ig_full_test.pt
Use 4 GPUs!
139242: 0.026708175812018453
208136: 0.4313624812511989
77933: 0.3354392143446603
60678: 0.00827765241774614
125118: 0.3041719083994394
133738: 0.07192250503067044
104179: 0.004876249866356375
141930: 0.008482887025820673
58849: 0.016198667071876116
9116: 0.06493606038566213
18518: 0.023896684768260457
208019: 0.05639391950171557
59701: 0.36610521161674114
160867: 0.0007047604067338398
120824: 0.7230833172070561
19680: 0.14079874699382344
206826: 0.12653211549695698
79321: 0.19508625762500742
89328: 0.004509242211042874
117570: 0.04222559749541688
170391: 0.0002176490916099283
70174: 0.6856248644544394
182726: 0.3669864485746075
215032: 0.1708646171609871
52914: 0.01766298295069646
130003: 0.014466622822510544
62316: 0.7030079088538059
118582: 0.7596837877717917
75836: 0.5523264682124136
31938: 0.6338504568557255
13332: 0.11265858927254158
25472: 0.04657894929550821
87638: 0.0005183593639230821
148093: 0.02560694816202158
201342: 0.00037493733839255583
113500: 0.4897406200761907
121337: 0.2758067824270256
199113: 0.3696827917774499
67174: 0.2031153574534983
63822: 0.11307200266492146
