Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r50l_g_full_test.pt
171666: 0.0009204540095595348
105033: 0.19588742201024278
216074: 0.7138123681213884
107629: 0.19141133613460948
159862: 0.08881664038073198
100917: 0.125514644204344
94286: 0.0004887475193287583
45193: 0.40765226418005374
27595: 0.08616944532961712
83332: 0.01656196841026636
61892: 4.112567629471825e-05
70679: 0.5721238897636445
89640: 0.30701786963352296
215140: 0.006871381964606654
192997: 0.3441996682845385
85790: 0.0011689353210782016
142742: 0.8062266894531372
197873: 8.703467010451674e-06
161313: 0.14419579713774414
151187: 0.18716917156978782
67155: 0.8330034330964939
77129: 0.3151538738430414
195652: 0.14333195077341118
137210: 3.216114844661888e-06
69033: 0.4313181139473201
65141: 0.39318455051397905
96935: 0.09900626404612825
98601: 0.05287057744264445
88138: 0.41909829545653476
183695: 0.10236794422962703
62631: 0.42991062151388393
15130: 0.5760557903852259
127476: 0.0007788171831541223
210861: 0.7843859655081542
72569: 0.06151659883559191
117774: 9.972236340916041e-05
172962: 0.03557349411744769
65326: 0.29716826114889305
209204: 0.0008135278528271783
177434: 0.6209819809437249
120309: 0.31412492910483214
70601: 0.35008137134690287
72143: 0.17081007637870016
95559: 0.4024924232582121
163013: 0.17691075987902316
176988: 0.00012096435557940044
132594: 0.4700065976646215
154707: 0.10463757956411168
57188: 0.36506519876540766
158303: 7.850223619465524e-05
217331: 0.11414273804149945
212382: 0.2908462765149684
197612: 0.1688059639709536
101804: 0.7049557544768708
49546: 0.46690748785742686
195639: 0.018551243800648154
49358: 0.009933446414902014
49163: 0.41217553657056083
87265: 0.005020398945784876
18943: 0.8719636619471881
56679: 0.000789192532661076
83296: 0.32176035911001577
181944: 0.00038996879432584564
66960: 0.0057820419480751895
82744: 0.6649667011489097
88126: 0.5046179728992612
190946: 0.31988685748183343
94733: 0.13484280658326497
201098: 0.5509105394012295
144614: 0.0040331965095231626
65448: 0.3156541236382395
156112: 0.03765083239301159
123758: 0.46116796128027915
91948: 0.00562829376281946
10037: 0.061465580133557296
129824: 0.11423838243142548
121328: 0.21961007435613855
4943: 0.18277647786582663
79967: 0.3204513783272773
186266: 0.1326845929902376
29554: 0.3676734963495427
153427: 0.222501595549215
125413: 0.00041816865595478703
156782: 0.00020567337825447285
166247: 0.04219622674253287
166326: 0.43249571015945687
128300: 0.6083315756582053
14426: 0.0006500121494017463
165442: 0.09633608227528612
31654: 0.7253737243273232
1780: 0.22044460257166065
112347: 0.15608208435528326
188681: 0.007235120450713173
75719: 0.7445274688447344
3506: 0.47037248857402536
55259: 0.6310696045402437
37195: 0.0004453391229715109
145109: 0.36510297936473113
140315: 0.006439814704940261
59338: 0.04286514759672144
133223: 0.3334093900312606
56496: 0.006602075401715979
96898: 0.0016681687225101882
28353: 5.655753736277802e-05
180944: 0.9975591951515526
169346: 0.5783210861640501
94171: 0.4501986066314103
5182: 7.4056357093788e-05
108781: 1.6626407711162194e-05
14195: 0.15834995697409227
12301: 0.00036971629709017795
170558: 0.1641041004509063
211881: 0.0011297573232376124
173351: 0.0008541984599089395
204955: 0.1894955816182744
136827: 0.019538391050754278
149435: 0.41934307886838984
204551: 0.38546538438224076
124256: 0.06795579492933168
175926: 0.23533833703111925
159992: 0.4014965303176723
181866: 0.00027029387405974603
70598: 0.0017113205559947664
193751: 0.013869405239858246
29861: 0.36418071118266615
165093: 0.21346146918131126
80488: 0.382002379745245
129064: 0.0003642396633480871
131621: 0.00018944911581897372
80963: 0.0001594629267538672
4946: 0.03719551436929436
121692: 7.027315155738734e-05
68397: 3.1821419635401534e-05
215794: 0.0054504153899799235
157845: 0.2472957129534663
78066: 0.0021357378808595506
25058: 0.16700062023001294
104855: 0.0013223535039550705
91758: 0.21357946646775616
68421: 0.09595869086674469
28718: 0.4761138610762856
153776: 0.00035176186133867304
48203: 0.09530127331614935
151323: 0.3740510484191901
217892: 0.00440023459161154
85124: 0.27177959483988445
