Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_perturb_full_core5_test_summed.pt
Use 4 GPUs!
('139242', '208136', '77933', '60678', '125118', '133738', '104179', '141930', '58849', '9116', '18518', '208019', '59701', '160867', '120824', '19680', '206826', '79321', '89328', '117570', '170391', '70174', '182726', '215032', '52914', '130003', '62316', '118582', '75836', '31938', '13332', '25472', '87638', '148093', '201342', '113500', '121337', '199113', '67174', '63822', '88299', '47054', '113521', '61572', '49072', '185945', '186837', '12229') tensor([19, 18, 24,  7, 11,  7,  7, 22, 14, 20,  2,  7, 22, 23, 20, 16,  7,  8,
5690: 0.9352968200328178
27809: 0.12066235519887414
6010: 0.06000338958983775
108987: 0.09464453038526699
135839: 0.4666235539552872
8318: 0.23346009626766318
31255: 0.22002707311912673
78843: 0.8967825523432111
205927: 0.8550856063957326
180173: 0.5925957843282958
156041: 0.8354451958512072
110857: 0.002552703153924085
219973: 0.02470747725601541
5903: 0.0998607772125979
189608: 0.09268833482201444
92150: 0.4261865574226249
39793: 0.06415994839335326
172789: 0.25723673340689857
