Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core8_fade_test_summed.pt
P24_05_30226-rinse-knife: 0.1161605365559808
P24_05_30256-put-glass: 0.6230230918008601
P24_06_30353-grab-spoon: 0.6413856574545207
P24_06_30384-rinse-sponge: 0.004890231006356771
P24_06_30417-rinse-fork: 0.14390607751556672
P24_06_30419-rinse-fork: 0.8109650863625575
P24_07_30534-pick-up-cloth: 0.02861618626775453
P24_07_30551-put-down-fork: 0.005545850010746811
P24_07_30569-turn-meat: 0.04639761352154892
P24_08_30653-pick-up-pot: 0.1295370318403002
P24_08_30656-put-pot: 0.43789799412479624
P24_08_30692-cut-onion: 0.7668079199938802
P24_08_30777-pick-up-lid: 0.49383165389008354
P24_08_30836-take-bottle: 0.5197247207106557
P24_08_30897-pick-up-lid: 0.2352819294173969
P24_08_30965-open-tap: 0.0038754581415219036
P25_02_31371-pick-up-pot: 0.3593169168452732
P25_02_31387-put-down-lid: 0.001569934466167322
P25_02_31397-turn-tap: 0.4994863149477169
P25_02_31398-turn-tap: 0.6157955789240077
P25_05_31483-put-down-pan: 0.39170323735743295
P25_05_31499-close-tap: 0.7451012298697606
P25_05_31558-open-cupboard: 0.42511011016904376
P25_05_31564-put-down-fork: 0.18442990447510965
P25_05_31574-pick-up-spoon: 0.03577718243343497
P25_12_31949-open-drawer: 0.2479447221121518
P26_02_32021-put-down-fork: 0.23203912496683188
P26_02_32022-open-fridge: 0.4844226763016195
P26_02_32061-put-down-fork: 0.2052210104011465
P26_03_32116-lather-pan: 0.3509491901349975
P26_03_32126-rinse-glass: 0.5984655035135802
P26_03_32127-soap-glass: 0.8000346981862094
P26_04_32152-put-lid: 0.668194518701057
P26_06_32189-close-lid: 0.7899426168733044
P26_08_32201-put-down-spoon: 0.8042816563720407
P26_09_32220-pick-up-pot: 0.5272889814223163
P26_09_32221-put-down-pot: 0.31734894769033417
P26_09_32230-pick-up-pot: 0.4467575814924203
