Loaded /home/lzq/ExpEval/exe_res/epic_r50l_la_full.pt
P28_08_34040-wash-knife: 0.032350655612219725
P28_09_34091-open-fridge: 0.23277034228522098
P28_09_34141-turn-on-tap: 0.05122465843504642
P28_13_34301-put-pan: 0.3203744853499302
P28_14_34393-put-down-sponge: 0.0005976656944994829
P28_14_34394-turn-on-tap: 0.11504549503496264
P28_14_34396-turn-off-tap: 0.00028589240540544125
P29_01_34867-chop-onion: 0.04249606047869747
P29_01_34868-chop-onion: 0.004651259506317729
P29_01_34877-chop-onion: 0.08906820834727114
P29_01_34902-chop-onion: 0.10382728394233709
P29_02_35181-move-fork: 0.4665529137455451
P29_02_35206-open-drawer: 0.08027213322930038
P29_03_35254-put-down-glass: 0.12161870398927022
P29_03_35265-close-cupboard: 0.2448020133524551
P29_03_35296-move-pan: 0.008154451509653882
P29_03_35335-pick-up-spatula: 0.003872171884722775
P29_03_35355-pick-up-fork: 0.5925434229138773
P29_03_35439-pick-up-bowl: 0.3535770743164903
P29_03_35461-rinse-bowl: 0.034215743142340216
P29_03_35497-scour-knife: 0.05824500673861621
P29_03_35528-pick-up-plate: 0.8466755231684147
P29_03_35562-scour-spatula: 0.04354267615053686
P29_03_35564-scour-spatula: 0.011310757847240893
P29_03_35632-pick-up-bowl: 0.0786241703772248
P29_04_35774-open-fridge: 0.001287387109186966
P30_03_36639-clean-knife: 0.08211790529007601
P30_04_36678-take-fork: 0.27058122769813053
P30_05_36874-put-onion: 0.0803799915511263
P30_05_36904-chop-onion: 0.13240021722504025
P30_05_36922-chop-onion: 0.28616508910545235
P30_05_37020-open-cupboard: 0.5183894125948427
P30_05_37240-open-cupboard: 0.3971216091158567
P30_05_37272-wash-spoon: 0.06313709101141285
P30_05_37511-take-plate: 0.378727030319169
P30_05_37535-empty-bottle: 0.009716405874769407
P30_06_37605-dry-fork: 0.5298481255158549
P30_06_37668-rinse-plate: 0.9786186123574225
P30_06_37674-rinse-bowl: 0.27561269184843695
P30_10_38341-take-spoon: 0.7635155821990338
P30_10_38504-rinse-fork: 0.17707198778039412
P30_10_38535-take-spoon: 0.8341356468226877
P30_10_38579-rinse-sponge: 0.03231990827919162
P30_11_38596-rinse-plate: 0.8858326862873582
P30_11_38661-wash-spoon: 0.3011077613409725
P30_11_38673-rise-sponge: 0.004026666707090953
P31_01_38722-take-glass: 0.0017793214287991077
P31_08_38926-open-fridge: 0.11047102733391512
P31_08_38943-open-fridge: 0.2430991417622863
Finished: cm, ins, most_first, epic, r50l, la, #Step=128
Average: 0.21013993064924283
Loaded /home/lzq/ExpEval/exe_res/epic_r50l_gbp_full.pt
P01_01_11-close-fridge: 0.4410903639145545
P01_01_227-take-glass: 0.01486147362173967
P01_01_246-put-down-spatula: 0.7936441749443475
P01_01_254-put-down-spoon: 0.5915694677532883
P01_01_255-open-cupboard: 0.7215740809551789
P01_01_305-take-spatula: 0.8320767134537164
P01_01_324-wash-pan: 0.7466895794614175
P01_01_49-take-spatula: 0.24617416203182074
P01_01_76-take-onion: 0.8480748266365481
P01_02_338-rinse-sponge: 0.0005605811082034506
P01_02_387-rinse-spoon: 0.10153654217975827
P01_02_417-rinse-fork: 0.036323750390453546
P01_02_421-rinse-plate: 0.9822473624562917
P01_03_489-move-bottle: 0.04206915350732743
P01_03_493-open-cupboard: 0.22325754057237646
P01_05_562-take-plate: 0.9354351838892399
P01_05_628-peel-potato: 0.8619223694829543
P01_05_629-put-down-potato: 0.02817483021476619
P01_05_743-open-drawer: 0.9831072180531919
