Loaded /home/lzq/ExpEval/exe_res/epic_r50l_eb_full.pt
P26_17_32347-take-spoon: 0.6648053935568896
P26_17_32353-put-down-plate: 0.9166621645754276
P26_18_32372-take-plate: 0.030690033764585678
P26_19_32404-pick-up-pot: 0.07728111967895757
P26_19_32434-put-down-glass: 0.7237679069432943
P26_19_32490-pick-up-pot: 0.41656578579437564
P26_19_32492-put-pot: 0.009008076742759386
P26_21_32505-close-cupboard: 0.025193744382704608
P26_28_32674-grab-fork: 0.0066268028427620695
P26_29_32690-put-lid: 0.0013007206559336737
P27_01_32893-pick-up-fork: 0.013204180381762853
P27_04_33002-place-sponge: 0.36560053053983665
P27_06_33144-pick-up-spoon: 0.03313311751207948
P27_06_33145-pick-up-fork: 0.005533067293072236
P27_07_33177-take-cloth: 0.0015803389213573382
P27_07_33257-turn-on-tap: 0.04625673900062566
P28_01_33343-put-down-pan: 0.0020786971428918
P28_02_33398-put-down-spatula: 0.0012487029071037643
P28_02_33400-wash-knife: 0.7534060116277033
P28_02_33474-turn-on-tap: 0.798367817589849
P28_02_33479-turn-on-tap: 0.83873690728268
P28_02_33489-turn-on-tap: 0.021756926457199732
P28_03_33614-peel-potato: 0.7200798258692203
P28_03_33621-turn-off-tap: 0.00046232938819912306
P28_04_33682-cut-potato: 0.8330186467193244
P28_05_33779-put-down-knife: 0.008581502484048542
P28_06_33862-take-knife: 0.8046288887389892
P28_06_33958-take-spoon: 0.24962768087425502
P28_08_34040-wash-knife: 0.006078269299730987
P28_09_34091-open-fridge: 0.8516254312253295
P28_09_34141-turn-on-tap: 0.48119380528277134
P28_13_34301-put-pan: 0.3505071664823163
P28_14_34393-put-down-sponge: 0.013740003209591123
P28_14_34394-turn-on-tap: 0.8188860562460718
P28_14_34396-turn-off-tap: 0.0012201008285304127
P29_01_34867-chop-onion: 0.713267327045287
P29_01_34868-chop-onion: 0.3873600322904167
P29_01_34877-chop-onion: 0.7936963108286363
P29_01_34902-chop-onion: 0.7460190665360642
P29_02_35181-move-fork: 0.011215754506338271
P29_02_35206-open-drawer: 0.9946446970570832
P29_03_35254-put-down-glass: 0.5970934192221193
P29_03_35265-close-cupboard: 0.7815368626470445
P29_03_35296-move-pan: 0.13132562885414245
P29_03_35335-pick-up-spatula: 0.010156425238164957
P29_03_35355-pick-up-fork: 0.5557690856367117
P29_03_35439-pick-up-bowl: 0.8890292017840693
P29_03_35461-rinse-bowl: 0.25874578669936454
P29_03_35497-scour-knife: 0.017609030136554793
P29_03_35528-pick-up-plate: 0.8819356044596134
P29_03_35562-scour-spatula: 0.759630810969611
P29_03_35564-scour-spatula: 0.6260556767574599
P29_03_35632-pick-up-bowl: 0.422886667181956
P29_04_35774-open-fridge: 0.0624438677168655
P30_03_36639-clean-knife: 0.058608417779893784
P30_04_36678-take-fork: 0.030960799180320464
P30_05_36874-put-onion: 0.009957880588444823
P30_05_36904-chop-onion: 0.7150175000924719
P30_05_36922-chop-onion: 0.7371009595144642
P30_05_37020-open-cupboard: 0.8892912952433107
P30_05_37240-open-cupboard: 0.893007905149716
P30_05_37272-wash-spoon: 0.04267071491540264
P30_05_37511-take-plate: 0.8004307563724069
P30_05_37535-empty-bottle: 0.6121084833207533
P30_06_37605-dry-fork: 0.6667875915154582
P30_06_37668-rinse-plate: 0.775092234679505
P30_06_37674-rinse-bowl: 0.595911900012652
P30_10_38341-take-spoon: 0.7215599919509259
P30_10_38504-rinse-fork: 0.005358110776754188
P30_10_38535-take-spoon: 0.9730521392848459
P30_10_38579-rinse-sponge: 0.2933715034902207
P30_11_38596-rinse-plate: 0.7987896393360643
P30_11_38661-wash-spoon: 0.7131306500014034
P30_11_38673-rise-sponge: 0.009317419449530462
P31_01_38722-take-glass: 0.0018726456551263482
P31_08_38926-open-fridge: 0.7698886118723749
P31_08_38943-open-fridge: 0.8472959882474242
Finished: cm_16, ins, most_first, epic, r50l, eb, #Step=128
Average: 0.4686989254836001
Loaded /home/lzq/ExpEval/exe_res/epic_r50l_eb_full.pt
P01_01_11-close-fridge: 0.7400968558049499
P01_01_227-take-glass: 0.024169303284897116
P01_01_246-put-down-spatula: 0.7385421842682263
P01_01_254-put-down-spoon: 0.7314416611407069
P01_01_255-open-cupboard: 0.5234866271930514
P01_01_305-take-spatula: 0.7790000290024182
P01_01_324-wash-pan: 0.5907787298912126
P01_01_49-take-spatula: 0.45221400427362823
P01_01_76-take-onion: 0.9200081557419253
P01_02_338-rinse-sponge: 0.003052109742554876
P01_02_387-rinse-spoon: 0.10033550118713208
P01_02_417-rinse-fork: 0.0028175464965269903
P01_02_421-rinse-plate: 0.6895760396337209
P01_03_489-move-bottle: 0.6811739631152705
P01_03_493-open-cupboard: 0.2482848604413448
P01_05_562-take-plate: 0.6687051733797489
P01_05_628-peel-potato: 0.8509639363311408
P01_05_629-put-down-potato: 0.009724921964448185
P01_05_743-open-drawer: 0.9919018833898008
P01_06_830-wash-fork: 0.013727212032648595
P01_06_896-rinse-knife: 0.14617538907350536
P01_06_921-rinse-cloth: 0.1863458725476903
P01_07_955-open-cupboard: 0.7608767141791759
P01_09_1034-put-down-potato: 0.0024506147516376586
P01_09_1170-wash-spatula: 0.42677224384351575
P01_09_1180-rinse-spatula: 0.7539537996399304
P01_09_1229-pour-potato: 0.1456666444265693
P01_09_1528-open-drawer: 0.7359447041526437
P01_09_1551-take-potato: 0.09560222845004773
P01_09_1678-open-fridge: 0.448860962771505
P01_09_1743-open-fridge: 0.4597392991545348
P01_09_1859-take-plate: 0.8495143135851322
P01_16_2820-put-glass: 0.3892282322551637
P01_16_2866-close-cupboard: 0.7192720572202234
P01_17_2886-open-cupboard: 0.8443816289509414
P01_17_3150-rinse-cloth: 0.24466746564417008
P01_18_3170-open-fridge: 0.4759880191541015
P01_18_3324-hang-cloth: 0.38725941659345153
P01_18_3454-take-lid: 0.9380780120559393
P01_18_3469-turn-on-tap: 0.704507071694195
P01_18_3548-open-drawer: 0.9540801732800901
P01_18_3688-take-sponge: 0.7558921203177533
P01_19_3910-rinse-glass: 0.026580212437803827
P01_19_3913-rinse-knife: 0.002896624221818817
P01_19_3950-rinse-sponge: 0.0033768658123563
P01_19_3973-rinse-cloth: 0.7365376973377806
P01_19_3976-rinse-cloth: 0.32043861262559403
P01_19_3986-hang-cloth: 0.7374778474534196
P02_01_4005-open-cupboard: 0.4049127962643979
P02_01_4033-put-spoon: 0.21648445563187124
P02_02_4107-wash-knife: 0.5401274341975295
P02_02_4111-wash-spoon: 0.8871280526582268
P02_02_4113-wash-spoon: 0.7278706213764963
P02_03_4188-put-lid: 0.009973056206689535
P02_03_4202-close-cupboard: 0.0028290888899391575
P02_03_4206-open-fridge: 0.8831418639874755
P02_03_4277-put-onion: 0.8329651590820504
P02_03_4296-pick-pot: 0.0012667718315810816
P02_03_4427-stir-onion: 0.5771610841538859
